"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"EDWARD_2_ESSSB2","Sanborn Solar 2",132,143349,131,4,2,0.0182239382239383,1.96355212355212,NA
"EDWARD_2_ESSSB2","Sanborn Solar 2",132,123202,123,5,2,0.0253050193050193,1.94938996138996,NA
"ELCAJN_6_EB1BT1","Eastern BESS 1",7.5,372178,7,1,155,0,155,0.323447283898897
"ELCAJN_6_EB1BT1","Eastern BESS 1",7.5,981846,8.25,2,108,0.0290215648548982,104.865670995671,NA
"ELCAJN_6_EB1BT1","Eastern BESS 1",7.5,185580,6.96,3,101,0.0230178274970354,98.6751994227994,NA
"ELCAJN_6_EB1BT1","Eastern BESS 1",7.5,397134,7.8,4,86,0.0113552468203631,85.0234487734488,NA
"ELCAJN_6_EB1BT1","Eastern BESS 1",7.5,101989,7.3,5,65,0.0228747221770478,63.5131430584919,NA
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",93,954013,85,1,14,0.0218904054830459,13.6935343232374,0.199147680020731
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",93,798542,93,2,11,0.0030455698654195,10.9664987314804,NA
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",93,360176,100,3,8,0.0246277243818489,7.80297820494521,NA
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",93,181382,100,4,8,0.0289056706978941,7.76875463441685,NA
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",93,837024,100,5,7,0.0220973387257442,6.84531862891979,NA
"ELKHIL_2_PL1X3","ELK HILLS COMBINED CYCLE (AGGREGATE)",551.7,111727,510,1,6,0.0156327393235879,5.90620356405847,0
"ELKHIL_2_PL1X3","ELK HILLS COMBINED CYCLE (AGGREGATE)",551.7,200912,510,2,6,0.0156327393235879,5.90620356405847,NA
"ELKHRN_1_EESX3","Elkhorn Energy Storage",182.5,883062,174.29,1,11,0.0187897676741949,10.7933125555839,0.00452899429664733
"ELKHRN_1_EESX3","Elkhorn Energy Storage",182.5,357513,175.67,2,11,0.0232336632202105,10.7444297045777,NA
"ELKHRN_1_EESX3","Elkhorn Energy Storage",182.5,193937,176.72,3,11,0.0271761529143133,10.7010623179426,NA
"ELKHRN_1_EESX3","Elkhorn Energy Storage",182.5,784426,198.99,4,10,0.0268840390181709,9.73115960981829,NA
"ELKHRN_1_EESX3","Elkhorn Energy Storage",182.5,185686,178.87,5,10,0.0374717219994449,9.62528278000555,NA
"ELLIOT_6_ELIBT1","Elliott Energy Storage",10,376549,10,1,5,0.0316849816849817,4.84157509157509,0.3972479667108
"ELLIOT_6_ELIBT1","Elliott Energy Storage",10,492010,10,2,3,0.0272435897435897,2.91826923076923,NA
"ELLIOT_6_ELIBT1","Elliott Energy Storage",10,347450,9.45,3,3,0.0279202279202279,2.91623931623932,NA
"ELLIOT_6_ELIBT1","Elliott Energy Storage",10,153153,10,4,3,0.0329380341880341,2.9011858974359,NA
"ELLIOT_6_ELIBT1","Elliott Energy Storage",10,209856,10,5,3,0.0329517704517705,2.90114468864469,NA
"ESCNDO_6_EB1BT1","Escondido BESS 1",10,882665,9.84,1,13,0.0214994560994561,12.7205070707071,0.0793945464025241
"ESCNDO_6_EB1BT1","Escondido BESS 1",10,193527,9.5,2,12,0.0241193181818182,11.7105681818182,NA
"ESCNDO_6_EB1BT1","Escondido BESS 1",10,749304,9.8,3,11,0.0169002754820936,10.814096969697,NA
